Group,Trial,Block,OneOption,Phase,BlockPhase,Frame_type,Target,Prompt,Audio_name,Picture,Gif1,Gif2,ReferentTarget,AttentionGrabber,AG_URL,AttentionGrabber_sound,,,,,,,,,,
B4,16,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,lift_arm_caus.gif,,,,,,,,,,,,,,,,
B4,17,2,N,Filler,1Filler,find the fish,fish,"Where is the fish, find the fish?",find_fish.mp3,,dog.png,fish.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B4,17,2,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B4,18,2,N,Test,1Test,intransitive,pim,Find tigging.,find_pimming.mp3,,spin_chair_intr.gif,lift_head_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B4,19,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,jump_to_split.gif,,,,,,,,,,,,,,,,
B4,20,3,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B4,20,3,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B4,21,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,jump_to_split.gif,,,,,,,,,,,,,,,,
B4,22,3,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B4,22,3,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,elmo.gif,,,,,,,,,,,
B4,23,3,N,Test,1Test,transitive,mipe,Find miping.,find_miping.mp3,,robot_dance.gif,twist_waist_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B4,24,4,Y,Exposure,1Exposure,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to riv together.",nade_intr.mp3,disco_caus.gif,,,,,,,,,,,,,,,,
B4,25,4,N,Filler,1Filler,find the fish,fish,"Where is the fish, find the fish?",find_fish.mp3,,dog.png,fish.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B4,25,4,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,elmo.gif,,,,,,,,,,,
B4,26,4,Y,Exposure,1Exposure,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to nade together.",nade_intr.mp3,disco_caus.gif,,,,,,,,,,,,,,,,
B4,27,4,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B4,27,4,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B4,28,4,N,Test,1Test,intransitive,nade,Find nading.,find_nading.mp3,,warrior_short.gif,ear_spin_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
